,highest_level_offered,HBCU,category,longitude,latitude,room_cost,board_cost,application_fee,in_tuition,in_fees,out_tuition,out_fees,EFFYLEV,total_students,total_men,total_women,retention,student_faculty_ratio,num_students_financial_aid,num_students_receiving_aid_federal,total_federal_aid_awarded,total_aid_awarded,num_pell_grants,total_pell_grants,num_students_receiving_aid_state_local,total_state_local_aid_awarded,num_students_receiving_institutional_aid,total_institutional_aid_awarded,num_students_loans,total_loans_awarded,total_scholarships_awarded
student_faculty_ratio,-0.0631962248668715,-0.012369235050277948,0.04301633079620299,-0.09068693209120511,-0.13596815900776277,-0.08475110186984898,-0.08208279113252474,-0.0897763797566013,-0.2408278959842712,-0.02769357619379201,-0.18647094765345876,-0.005065882716469881,,0.28416565649406406,0.2832157068990993,0.27840654414424326,-0.10481293234512906,1.0,0.27619585386787593,0.17829649526217653,0.16542456611530365,0.07341964957582646,0.28176201856420746,0.26818102597079635,0.20523426907392023,0.12093876092029272,0.0751068804709934,-0.05676612625563523,0.12948087437500033,0.10790263489963922,0.14855160805222226
num_students_financial_aid,0.2598775354935724,0.00027309167257029437,-0.1667016273258902,-0.06076046344291462,-0.01265727212577791,0.22618893847864227,0.21081170417232045,-0.0432055778739449,-0.07855490315812362,0.12168371936436308,0.08043971744005354,0.12765819684238294,,0.9782472010837452,0.9686136452391665,0.9634249852971565,0.0394878111509977,0.27619585386787593,1.0,0.8163680637843692,0.763976427136722,0.7013502548936377,0.9221717735245464,0.8962953671134646,0.6930476404907753,0.5378046110808773,0.6490215499695128,0.37884467538760036,0.5492694294661072,0.5063522073404054,0.6746244321608683
num_students_receiving_aid_federal,0.3740455322398303,-0.03998038143361373,-0.22037245428998026,0.013070771753650234,0.02448811938719913,0.3320313479032502,0.33144036745216915,0.02218506806409433,0.05204877453070402,0.1859996003834675,0.20554685180989837,0.18160603342342807,,0.7590495407646507,0.7232546986337414,0.7702171806087966,0.07271386660355955,0.17829649526217653,0.8163680637843692,1.0,0.9724490490756187,0.7174891298907775,0.8203754081470994,0.8075769488092579,0.582408917288285,0.5085068706853606,0.740304083355491,0.4542403446519911,0.7288945550457137,0.7020552787674535,0.6349400350411526
total_federal_aid_awarded,0.38691293748471883,-0.05078082686419956,-0.2245583086772716,0.012511217540768746,0.02497023372005871,0.3340950763149049,0.33523617179671206,0.024926353188960124,0.07690612734441839,0.18398396708624623,0.21924776446339037,0.1753302638001137,,0.7065799231253322,0.669307375980876,0.7201470099552254,0.07073940525767665,0.16542456611530365,0.763976427136722,0.9724490490756187,1.0,0.6988161019216695,0.7790023829203261,0.7772538214500896,0.539991959929701,0.4772183109903417,0.7227024193929258,0.44915037181408524,0.7198232730856376,0.7072455511725497,0.5900322168661797
total_aid_awarded,0.42888873735634386,-0.014772181842180841,-0.2553793760910769,0.012427899361090039,0.03487870690099802,0.4554711132044834,0.46648365708278083,0.05011117484801403,0.3522743150302815,0.16939471354117974,0.4968878482344889,0.16422368656664033,,0.6143011578493215,0.6181047483089984,0.5972431398142588,0.19556052266373308,0.07341964957582646,0.7013502548936377,0.7174891298907775,0.6988161019216695,1.0,0.6366328547834216,0.6631446971503147,0.6166582730846434,0.618836191882594,0.8588844830679858,0.8650641307444271,0.6166509890624254,0.6089699844959772,0.6865142646671439
num_pell_grants,0.2427087800695046,-0.03858288755807734,-0.1609144661357685,-0.030729583986595147,-0.06438602716982211,0.19647813129637035,0.17086935640861828,-0.052815670177034084,-0.11680570598612613,0.11508144206341551,0.017212555622581758,0.12424331635020777,,0.9080317819142439,0.8694571710260656,0.9179496113589376,-0.007232408554552429,0.28176201856420746,0.9221717735245464,0.8203754081470994,0.7790023829203261,0.6366328547834216,1.0,0.9849536269218601,0.6937914779316933,0.527644872249784,0.5537241981323423,0.2591713125968422,0.5545324124775858,0.4959441191158578,0.6580238000851989
total_pell_grants,0.25863630098385976,-0.05075471527984794,-0.16861595301576138,-0.026846231510864103,-0.07297744988683919,0.21317632226718486,0.18642319008446787,-0.04206661844252633,-0.10694284587052137,0.12671739483092773,0.03343308210208114,0.13171286870046445,,0.8687412928308242,0.8338873793490894,0.8766021083328945,0.00603294074561807,0.26818102597079635,0.8962953671134646,0.8075769488092579,0.7772538214500896,0.6631446971503147,0.9849536269218601,1.0,0.7100083090275983,0.5570078580043865,0.5887661951767935,0.2803274812088498,0.6075079531511202,0.54905373999594,0.6894406850389522
num_students_receiving_aid_state_local,0.26338628065129566,-0.02071295755435592,-0.15501031688906453,-0.02452614344602503,-0.02804337027081872,0.26829153168418557,0.24869366189127146,-0.01195652503892075,-0.07161382148519861,0.16128156585169792,0.10504679620600417,0.18181506854428905,,0.6201146440521277,0.6293318734162646,0.598566807627228,0.062451638450536084,0.20523426907392023,0.6930476404907753,0.582408917288285,0.539991959929701,0.6166582730846434,0.6937914779316933,0.7100083090275983,1.0,0.8590562440604738,0.5745222214180999,0.27837009975321086,0.47765205801563043,0.4195282989345231,0.8115249556633473
total_state_local_aid_awarded,0.250628767686441,-0.01619815416327053,-0.13945888957806044,-0.020737493956190102,-0.02532577380143861,0.22516549055442756,0.2106500604122774,0.03809062831231476,-0.007080502108764855,0.1611261036785986,0.16611651622240967,0.18337444321634713,,0.45629132433383274,0.46732651503234784,0.43703192335127916,0.09373472282610767,0.12093876092029272,0.5378046110808773,0.5085068706853606,0.4772183109903417,0.618836191882594,0.527644872249784,0.5570078580043865,0.8590562440604738,1.0,0.5426112176096746,0.2973830506586177,0.43652003332216255,0.3819993432676719,0.8479655427722269
num_students_receiving_institutional_aid,0.42636811382907064,-0.027331212066954474,-0.24503834817162023,0.013538869759120125,0.04992905579318308,0.43319810924688523,0.4580939316985731,0.05470971250847247,0.22401231895121781,0.19433556324882498,0.4017378962685323,0.18493246881461659,,0.5372775511158951,0.5583257888997142,0.5082212459543368,0.17705970516637848,0.0751068804709934,0.6490215499695128,0.740304083355491,0.7227024193929258,0.8588844830679858,0.5537241981323423,0.5887661951767935,0.5745222214180999,0.5426112176096746,1.0,0.761475904480544,0.7147209158988664,0.7140384998887586,0.7245436458853045
