UNITID,F1A01,F1A31,F1A04,F1A05,F1A06,F1A19,F1A07,F1A08,F1A09,F1A10,F1A11,F1A12,F1A13,F1A20,F1A14,F1A15,F1A16,F1A17,F1A18,F1A214,F1A224,F1A234,F1A324,F1A274,F1A27T4,F1A284,F1A334,F1A344,F1D01,F1D02,F1D03,F1D04,F1D05,F1D06,F1B01,F1B02,F1B03,F1B04,F1B04A,F1B04B,F1B05,F1B06,F1B26,F1B07,F1B08,F1B09,F1B10,F1B11,F1B12,F1B13,F1B14,F1B15,F1B16,F1B17,F1B18,F1B19,F1B27,F1B20,F1B21,F1B22,F1B23,F1B24,F1B25,F1C011,F1C012,F1C021,F1C022,F1C031,F1C032,F1C051,F1C052,F1C061,F1C062,F1C071,F1C072,F1C101,F1C111,F1C112,F1C121,F1C122,F1C131,F1C132,F1C141,F1C191,F1C192,F1C193,F1C19OM,F1C19DP,F1C19IN,F1C19OT,F1M01,F1M02,F1M03,F1M04,F1E01,F1E02,F1E03,F1E04,F1E05,F1E06,F1E07,F1E08,F1E09,F1E10,F1E11,F1H01,F1H02   
101514,44110605,108404582,12931238,121335820,165446425,7924867,3101000,13087755,16188755,24347598,56664456,81012054,97200809,6286846,81611905,2765678,0,-14493946,69883637,4380954,11508547,118413944,17936133,2037756,154277334,49502280,0,3629527,68613965,64905594,3708371,87042943,-20867677,69883637,23429790,1688898,1919221,41791,3736,38055,513025,,61367,,0,27654092,0,25814684,0,12867878,0,0,337858,41796,94083,39156299,66810391,350000,1453574,0,0,1803574,68613965,32058767,16761951,0,0,0,0,4653100,2012847,6948301,3353004,11180194,4473048,6885593,108164,0,,,,,3071475,64905594,26600850,9099501,5513485,4741711,1008857,17941190,3433217,34626000,3658000,6560000,12848368,197996,520466,0,0,2112240,15679070,8793477,0,8793477,6885593,10798710,11329573
101569,13124896,54003529,2765388,56768917,69893813,4136408,1132970,4312719,5445689,22980447,37046344,60026791,65472480,4809223,28397748,3104748,0,-27753978,3748518,2433577,7260103,48255926,8395216,20150389,86495211,32491680,0,0,50203300,50317757,-114457,19794909,-15931934,3748518,3529445,8772731,1302102,143320,137373,5947,666810,,463635,,226680,15104723,0,13666306,0,10757436,0,0,0,57972,0,24481714,39586437,0,10583213,0,33650,10616863,50203300,16735508,9685513,0,0,121971,21261,1938835,1267717,4131281,2600330,5935096,2301177,5948187,1067223,183106,,,,,14439656,50317757,16733363,5548707,4020735,1585465,436029,21993458,14000,21326000,2538000,3605523,10375680,381756,430542,137373,0,1916710,13242061,6953886,339988,7293874,5948187,585325,585770
101587,29431212,53343761,1962948,55306709,84737921,9564906,1290000,68424936,69714936,46870000,2105186,48975186,118690122,5485118,16588240,0,423478,-46884131,-29872413,492526,0,76348601,6759342,1972929,85573398,32175231,0,0,66070774,68310005,-2239231,-10996419,-16636763,-29872413,32293532,3259927,224985,0,0,0,4912766,0,0,0,2558521,43249731,0,16390241,0,5630473,0,0,0,1990,258938,22281642,65531373,0,0,0,539401,539401,66070774,28697123,13661941,684673,154414,1362110,0,5265264,1826641,9692360,3354528,7513894,3224991,307000,4507956,538616,0,0,0,0,10279625,68310005,25138360,12914908,16457,2511475,2474959,25253846,1036000,35603000,3655000,6829606,5630473,3259927,224985,0,0,3823871,12939256,10286510,2345746,12632256,307000,423384,423478
101602,9549321,11115412,863693,11979105,21528426,2230512,205000,3595865,3800865,1440000,19491974,20931974,24732839,2571396,10054106,589960,0,-14189363,-3545297,411893,1790723,17681616,5025333,171801,25081366,13382259,0,0,18182582,18287512,-104930,4414633,-7855000,-3545297,2601113,1619372,1011872,40000,40000,0,229508,,25881,,69780,5597526,0,7403748,248468,4604054,0,0,311383,6090,10630,12584373,18181899,0,683,0,0,683,18182582,8134703,4787419,0,0,0,0,1632999,818225,2932819,1493862,2816308,1290262,2219095,533899,78015,,,,,17689,18287512,8467783,2905871,1628034,756139,70103,4459582,959208,11742007,1607662,1985456,4604054,129251,488175,0,912517,0,6133997,3682489,232413,3914902,2219095,,
101648,4411399,20363499,0,20363499,24774898,2166754,129097,1571229,1700326,1371623,15094320,16465943,18166269,1903883,18862779,418300,0,-12409579,6871500,604910,2709355,21397590,3506118,172104,28390077,8026578,0,0,15635498,14406987,1228511,12678143,-7035154,6871500,953460,422582,0,0,0,0,3108866,,0,,0,4484908,0,7920936,0,835662,0,0,2292337,4608,97047,11150590,15635498,0,0,0,0,0,15635498,1817594,1240601,0,0,0,0,1173764,748576,3318553,1900836,2444566,1016418,81456,2529001,198937,,,,,3042053,14406987,5105368,2282753,2255922,673519,70868,4018557,1001000,8327000,855000,1942646,835662,43351,0,0,0,2261752,3140765,3059309,0,3059309,81456,4469374,3441039
101709,34014649,61728939,27883193,89612132,123626781,14029472,915496,21079804,21995300,49698484,75900351,125598835,147594135,7973086,25117307,6863834,2139161,-52031270,-17910968,1457870,20070413,74118117,26387486,3555460,125589346,63860407,0,0,64240659,71878771,-7638112,20010171,-30283027,-17910968,20415027,2204823,5428735,0,0,0,9140284,0,0,0,2125487,39314356,0,18703151,0,4614292,0,0,0,422948,0,23740391,63054747,0,1185912,0,0,1185912,64240659,30497063,14088871,14469,0,664835,346411,7737908,3397728,12878090,5922758,10560453,3402220,3538259,5987694,478928,0,0,0,0,0,71878771,27636916,14238291,5852759,3982321,2024104,18144380,1145000,41112000,4222000,8175000,4614292,223170,31844,0,962879,12704041,18536226,14704030,293937,14997967,3538259,20550150,21923587
101736,21421527,26576356,1665554,28241910,49663437,3000663,389139,5137545,5526684,4078536,32508257,36586793,42113477,5241853,23044235,972650,0,-18708115,5308770,935553,1480588,42378764,11614096,0,56409001,28897091,0,0,31480321,30382159,1098162,18575602,-14364994,5308770,6041184,4180507,1608401,6757,736,6021,260705,,0,,364940,12462494,0,12435240,0,6457507,0,0,0,125079,1,19017827,31480321,0,0,0,0,0,31480321,12892647,7364281,0,0,1590043,797060,2964413,1094984,4660006,2351855,3976242,1358127,3972787,267307,56968,,,,,58714,30382159,13023275,4266448,2661273,1689121,140988,8601054,1466975,18486000,2844000,2591125,6272586,211434,285570,0,0,1036975,7806565,3833778,0,3833778,3972787,737021,744426
101879,67290394,148989384,11643578,160632962,227923356,19234840,1755382,40562327,42317709,71120049,111979980,183100029,225417738,12151901,77117391,646495,4397554,-72572883,9588557,3873529,14431311,190294901,27645300,3282142,239527183,90537799,0,0,120612004,116467661,4144343,47655202,-42210988,9588557,46155412,1875979,3343065,68646,68646,0,17688269,0,0,0,8620866,77752237,0,30071686,0,11593254,0,0,0,965621,0,42630561,120382798,0,0,229206,0,229206,120612004,48500197,28463663,104064,17729,6406492,2998393,5816516,2739247,10672447,4554809,19103208,7171061,8376776,17487961,3756991,0,0,0,0,0,116467661,49701893,19227758,5183053,5096026,3082356,34176575,6095000,63227000,6960865,11041992,11593254,201434,58651,0,0,14877332,26730671,18239464,114431,18353895,8376776,34640080,38771413
101897,12167877,24961918,0,24961918,37129795,2344276,375000,3484168,3859168,10270000,20776947,31046947,34906115,2513676,14316918,-19724186,0,7461548,2054280,388083,1625951,32986262,4470259,0,39470555,14508637,0,0,25485468,24825612,659856,9440054,-8045630,2054280,3914365,808925,2413252,35699,0,35699,907558,,26825,,0,8106624,0,8746284,0,8465132,0,0,4627,50404,16901,17283348,25389972,0,0,0,95496,95496,25485468,11131311,6533365,0,0,0,0,1942481,1090938,1841824,1051329,4029999,1372060,4116024,1711785,152742,,,,,52188,24825612,10200434,3348612,1857518,994871,374133,8050044,1059795,12955000,1450000,2093000,8337299,77238,2080213,0,0,0,10494750,5766531,612195,6378726,4116024,29536,4923
101994,2488288,4171888,500000,4671888,7160176,795020,215000,521039,736039,930000,7480723,8410723,9146762,2397538,3026888,0,0,-6615992,-3589104,8000,876754,5795765,2104790,0,8785309,4613420,0,0,6839215,6625750,213465,-452404,-3350165,-3589104,504904,435495,365804,0,0,0,110292,,1059,,102898,1520452,0,4582381,0,728507,0,0,0,7875,0,5318763,6839215,0,0,0,0,0,6839215,2859958,1891669,0,0,0,0,412419,227278,657607,458664,1082862,582523,419660,141243,0,,,,,1052001,6625750,3160134,736116,684371,329649,34223,1681257,73029,4557971,1649192,702260,728507,65295,214961,0,0,539683,1548446,1065183,63603,1128786,419660,,
