UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,STUFACR,XSTUFACR
190372,R,216,R,245,R,88,R,189,R,0,R,0,R,189,R,172,R,91,R,0,R,0,R,0,R,0,R,0,A,,6,R
190415,R,3295,R,4016,R,82,R,3349,R,1,R,0,R,3348,R,3259,R,97,A,,A,,A,,A,,A,,A,,9,R
190442,R,611,R,796,R,77,R,696,Z,0,Z,0,R,696,R,424,R,61,R,81,Z,0,Z,0,R,81,R,28,R,35,19,R
190451,R,13,R,19,R,68,R,20,R,0,R,0,R,20,R,16,R,80,R,3,R,0,R,0,R,3,R,0,R,0,5,R
190503,A,,A,,A,,R,104,R,0,R,0,R,104,R,80,R,77,A,,A,,A,,A,,A,,A,,18,R
190512,R,1682,R,3536,R,48,R,1599,R,0,R,0,R,1599,R,1415,R,88,R,6,R,0,R,0,R,6,R,2,R,33,18,R
190521,R,5855,R,9892,R,59,R,5469,R,0,R,0,R,5469,R,3163,R,58,R,855,R,0,R,0,R,855,R,315,R,37,26,R
190530,R,1851,R,3756,R,49,R,1917,R,0,R,0,R,1917,R,1045,R,55,R,138,R,0,R,0,R,138,R,45,R,33,20,R
190549,R,1738,R,4815,R,36,R,1642,R,0,R,0,R,1642,R,1362,R,83,R,20,R,0,R,0,R,20,R,10,R,50,16,R
190558,R,2555,R,3689,R,69,R,704,R,0,R,0,R,704,R,544,R,77,R,19,R,0,R,0,R,19,R,11,R,58,18,R
190567,R,1804,R,3779,R,48,R,1683,R,0,R,0,R,1683,R,1391,R,83,R,22,R,0,R,0,R,22,R,11,R,50,14,R
190576,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,7,R
190585,R,1154,R,2860,R,40,R,1040,R,0,R,0,R,1040,R,580,R,56,R,156,R,0,R,0,R,156,R,65,R,42,21,R
190594,R,2589,R,5335,R,49,R,2330,R,0,R,0,R,2330,R,1988,R,85,R,6,R,0,R,0,R,6,R,5,R,83,13,R
190600,R,1852,R,4299,R,43,R,1831,R,0,R,0,R,1831,R,1463,R,80,R,13,R,0,R,0,R,13,R,5,R,38,17,R
190619,R,1989,R,7580,R,26,R,1848,R,0,R,0,R,1848,R,1256,R,68,R,120,R,0,R,0,R,120,R,50,R,42,22,R
190628,R,2348,R,8054,R,29,R,2576,R,0,R,0,R,2576,R,1672,R,65,R,373,R,0,R,0,R,373,R,123,R,33,24,R
190637,R,1012,R,4268,R,24,R,919,R,0,R,0,R,919,R,742,R,81,R,21,R,0,R,0,R,21,R,10,R,48,16,R
190646,R,1148,R,2305,R,50,R,149,R,0,R,0,R,149,R,87,R,58,R,3,R,0,R,0,R,3,R,1,R,33,20,R
190655,R,3223,R,5930,R,54,R,912,R,0,R,0,R,912,R,627,R,69,R,19,R,0,R,0,R,19,R,12,R,63,18,R
190664,R,1936,R,4989,R,39,R,1639,R,0,R,0,R,1639,R,1382,R,84,R,33,R,0,R,0,R,33,R,20,R,61,15,R
